edad;peso;talla;sexo;provincia
59;85.9;171;HOMBRE;ALICANTE
64;82;165.7;HOMBRE;ALICANTE
60;91.8;166;HOMBRE;ALICANTE
55;92.3;171;HOMBRE;ALICANTE
58;77.5;161.5;HOMBRE;ALICANTE
57;118.5;184.5;HOMBRE;ALICANTE
56;95.4;151.8;HOMBRE;ALICANTE
59;89.5;162;HOMBRE;ALICANTE
50;62;156.5;MUJER;ALICANTE
54;43.2;145.5;MUJER;ALICANTE
60;73.7;147.5;MUJER;ALICANTE
63;108;166.5;MUJER;ALICANTE
64;61.8;155.5;MUJER;ALICANTE
53;59.3;155.5;MUJER;ALICANTE
56;60.2;150;MUJER;ALICANTE
52;;;MUJER;ALICANTE
50;;;MUJER;ALICANTE
58;58;160;MUJER;ALICANTE
53;92;153.5;MUJER;ALICANTE
62;79;155.5;MUJER;ALICANTE
55;62.5;152.5;MUJER;ALICANTE
63;79.4;158;MUJER;ALICANTE
54;62.6;152;MUJER;ALICANTE
56;67.2;156.5;MUJER;ALICANTE
50;48.4;165;MUJER;ALICANTE
64;56.5;167.5;MUJER;ALICANTE
59;57.6;157.3;MUJER;ALICANTE
56;50;149;MUJER;ALICANTE
58;63.3;161.5;MUJER;ALICANTE
54;68.5;165.3;MUJER;ALICANTE
50;62.2;155;MUJER;ALICANTE
51;66;167.1;MUJER;ALICANTE
63;65.8;160;MUJER;ALICANTE
54;56;152;MUJER;ALICANTE
59;76;166;MUJER;ALICANTE
55;75.5;165;MUJER;ALICANTE
52;71.2;162.5;MUJER;ALICANTE
51;65.5;159.5;MUJER;ALICANTE
55;60.7;153.5;MUJER;ALICANTE
52;66;155.3;MUJER;ALICANTE
57;74.4;157.5;MUJER;ALICANTE
57;71.2;155.5;MUJER;ALICANTE
64;63.9;148.5;MUJER;ALICANTE
64;73.5;162.5;MUJER;ALICANTE
53;71;150;MUJER;ALICANTE
59;89.7;162;MUJER;ALICANTE
50;95;162.5;MUJER;ALICANTE
53;75.3;150.5;MUJER;ALICANTE
53;98.2;160;MUJER;ALICANTE
65;74.7;160.5;HOMBRE;ALICANTE
65;82.5;173;HOMBRE;ALICANTE
72;64;161;HOMBRE;ALICANTE
73;65;169;HOMBRE;ALICANTE
80;76.2;150.5;HOMBRE;ALICANTE
81;78.5;155.3;HOMBRE;ALICANTE
72;74.5;167.5;HOMBRE;ALICANTE
84;55.6;171.5;HOMBRE;ALICANTE
84;;;HOMBRE;ALICANTE
66;44;156;HOMBRE;ALICANTE
69;60.4;168;HOMBRE;ALICANTE
75;71.6;163;HOMBRE;ALICANTE
65;69.4;168.1;HOMBRE;ALICANTE
75;70.5;167.3;HOMBRE;ALICANTE
73;72;169;HOMBRE;ALICANTE
68;81.5;176.5;HOMBRE;ALICANTE
